4-67682,,27622.4000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E901】(4893514)帯電防止性グランカート 折りたたみハンドル ９００Ｘ６０５ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●表面抵抗値10[[の11乗]]Ω～10[[の12乗]]Ωで帯電を嫌う、精密測定装置などの運搬用に大変便利です。<br>●均等荷重(kg):400<br>●長さ(mm):900<br>●幅(mm):605<br>●高さ(mm):233<br>●ハンドル高さ(mm):1003<br>●キャスター径(mm):130<br>●適合ストッパー:TP-900FB、TP-X900FB<br>●質量(kg):21.9<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●荷台:帯電防止性樹脂<br>●ハンドル:スチール<br>●ハンドル表面処理:粉体塗装<br>●キャスター金具:スチール<br>●車輪:帯電防止性ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E901】(4893514)帯電防止性グランカート 折りたたみハンドル ９００Ｘ６０５ 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E901】(4893514)帯電防止性グランカート 折りたたみハンドル ９００Ｘ６０５ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E901】(4893514)帯電防止性グランカート 折りたたみハンドル ９００Ｘ６０５ 受注単位1[rn]
4-67683,,24069.6000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D902】(4893409)導電性グランカート 固定 ９００Ｘ６０５ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●表面抵抗値約10[[の5乗]]Ωで、大型精密機器の移動の際、大変便利です。<br>●導電性樹脂天板を使用することにより、ホコリの付着を完全に防止するため、精密部品の運搬に大変便利な台車です。<br>●均等荷重(kg):400<br>●長さ(mm):900<br>●幅(mm):605<br>●高さ(mm):233<br>●ハンドル高さ(mm):1000<br>●キャスター径(mm):130<br>●適合ストッパー:TP-900FB、TP-X900FB<br>●質量(kg):17<br>●組立式<br>●自在キャスター、固定キャスター各2個<br>●荷台:導電性樹脂<br>●ハンドル:スチール<br>●ハンドル表面処理:粉体塗装<br>●キャスター金具:スチール<br>●車輪:導電性ゴム<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D902】(4893409)導電性グランカート 固定 ９００Ｘ６０５ 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D902】(4893409)導電性グランカート 固定 ９００Ｘ６０５ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D902】(4893409)導電性グランカート 固定 ９００Ｘ６０５ 受注単位1[rn]
4-67684,,14844.8000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D702】(4893328)導電性グランカート 固定 ７１８Ｘ４６８ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●表面抵抗値約10[[の5乗]]Ωで、大型精密機器の移動の際、大変便利です。<br>●導電性樹脂天板を使用することにより、ホコリの付着を完全に防止するため、精密部品の運搬に大変便利な台車です。<br>●均等荷重(kg):200<br>●長さ(mm):718<br>●幅(mm):468<br>●高さ(mm):170<br>●ハンドル高さ(mm):900<br>●キャスター径(mm):100<br>●適合ストッパー:TP-700FB<br>●質量(kg):10.2<br>●組立式<br>●自在キャスター、固定キャスター各2個<br>●荷台:導電性樹脂<br>●ハンドル:スチール<br>●ハンドル表面処理:粉体塗装<br>●キャスター金具:スチール<br>●車輪:導電性ゴム<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D702】(4893328)導電性グランカート 固定 ７１８Ｘ４６８ 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D702】(4893328)導電性グランカート 固定 ７１８Ｘ４６８ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-D702】(4893328)導電性グランカート 固定 ７１８Ｘ４６８ 受注単位1[rn]
4-67685,,23540.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E801】(4893476)帯電防止性グランカート 折りたたみ ８００Ｘ５３５ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●表面抵抗値10[[の11乗]]Ω～10[[の12乗]]Ωで帯電を嫌う、精密測定装置などの運搬用に大変便利です。<br>●均等荷重(kg):300<br>●長さ(mm):800<br>●幅(mm):535<br>●高さ(mm):223<br>●ハンドル高さ(mm):1053<br>●キャスター径(mm):130<br>●適合ストッパー:TP-800FB、TP-X800FB<br>●質量(kg):17.6<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●荷台:帯電防止性樹脂<br>●ハンドル:スチール<br>●ハンドル表面処理:粉体塗装<br>●キャスター金具:スチール<br>●車輪:帯電防止性ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E801】(4893476)帯電防止性グランカート 折りたたみ ８００Ｘ５３５ 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E801】(4893476)帯電防止性グランカート 折りたたみ ８００Ｘ５３５ 受注単位1,物流保管用品\運搬台車\静電気対策運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TP-E801】(4893476)帯電防止性グランカート 折りたたみ ８００Ｘ５３５ 受注単位1[rn]
4-67686,,76611.2000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-105NU】(4854730)オールＳＵＳ製運搬車 片袖３段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):480<br>●高さ(mm):145<br>●均等荷重(kg):150<br>●長さ(mm):740<br>●ハンドル高さ(mm):850<br>●キャスター径(mm):100<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):26<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●片袖3段タイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-105NU】(4854730)オールＳＵＳ製運搬車 片袖３段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-105NU】(4854730)オールＳＵＳ製運搬車 片袖３段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-105NU】(4854730)オールＳＵＳ製運搬車 片袖３段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1[rn]
4-67687,,62560.8000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-104NU】(4854721)オールＳＵＳ製運搬車 片袖２段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):480<br>●高さ(mm):145<br>●均等荷重(kg):150<br>●長さ(mm):740<br>●ハンドル高さ(mm):850<br>●キャスター径(mm):100<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):19<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●片袖2段タイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-104NU】(4854721)オールＳＵＳ製運搬車 片袖２段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-104NU】(4854721)オールＳＵＳ製運搬車 片袖２段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-104NU】(4854721)オールＳＵＳ製運搬車 片袖２段型 ７４０Ｘ４８０ 省音ウレタン車 受注単位1[rn]
4-67688,,48564.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-108NU】(4854748)オールＳＵＳ製運搬車 固定式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):480<br>●高さ(mm):145<br>●均等荷重(kg):150<br>●長さ(mm):740<br>●ハンドル高さ(mm):840<br>●キャスター径(mm):100<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):12<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●固定ハンドルタイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-108NU】(4854748)オールＳＵＳ製運搬車 固定式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-108NU】(4854748)オールＳＵＳ製運搬車 固定式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-108NU】(4854748)オールＳＵＳ製運搬車 固定式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1[rn]
4-67689,,57577.6000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-101NU】(4854713)オールＳＵＳ製運搬車 折りたたみ式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):480<br>●高さ(mm):145<br>●均等荷重(kg):150<br>●長さ(mm):740<br>●ハンドル高さ(mm):850<br>●キャスター径(mm):100<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):12<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●折りたたみハンドルタイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-101NU】(4854713)オールＳＵＳ製運搬車 折りたたみ式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-101NU】(4854713)オールＳＵＳ製運搬車 折りたたみ式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-101NU】(4854713)オールＳＵＳ製運搬車 折りたたみ式 ７４０Ｘ４８０ 省音ウレタン車 受注単位1[rn]
4-67690,,109747.2000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-308NU】(4854781)オールＳＵＳ製運搬車 片袖３段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):615<br>●高さ(mm):205<br>●均等荷重(kg):300<br>●長さ(mm):915<br>●ハンドル高さ(mm):850<br>●キャスター径(mm):130<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):50<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●片袖3段タイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-308NU】(4854781)オールＳＵＳ製運搬車 片袖３段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-308NU】(4854781)オールＳＵＳ製運搬車 片袖３段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-308NU】(4854781)オールＳＵＳ製運搬車 片袖３段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1[rn]
4-67691,,93524.0000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-304NU】(4854772)オールＳＵＳ製運搬車 片袖２段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):615<br>●高さ(mm):205<br>●均等荷重(kg):300<br>●長さ(mm):915<br>●ハンドル高さ(mm):850<br>●キャスター径(mm):130<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):40<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●片袖2段タイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-304NU】(4854772)オールＳＵＳ製運搬車 片袖２段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-304NU】(4854772)オールＳＵＳ製運搬車 片袖２段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-304NU】(4854772)オールＳＵＳ製運搬車 片袖２段型 ９１５Ｘ６１５ 省音ウレタン車 受注単位1[rn]
4-67692,,71415.2000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-301NU】(4854756)オールＳＵＳ製運搬車 折りたたみ式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):615<br>●高さ(mm):205<br>●均等荷重(kg):300<br>●長さ(mm):915<br>●ハンドル高さ(mm):855<br>●キャスター径(mm):130<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):26<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●折りたたみハンドルタイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-301NU】(4854756)オールＳＵＳ製運搬車 折りたたみ式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-301NU】(4854756)オールＳＵＳ製運搬車 折りたたみ式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-301NU】(4854756)オールＳＵＳ製運搬車 折りたたみ式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1[rn]
4-67693,,70460.8000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-302NU】(4854764)オールＳＵＳ製運搬車 固定式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●本体およびキャスター金具の細部に渡り、SUS304を使用することにより、サビにくく常に清潔に使用できます。<br>●幅(mm):615<br>●高さ(mm):205<br>●均等荷重(kg):300<br>●長さ(mm):915<br>●ハンドル高さ(mm):840<br>●キャスター径(mm):130<br>●適合ストッパー:-<br>●組立目安:-<br>●質量(kg):25<br>●完成品<br>●自在キャスター、固定キャスター各2個<br>●ステンレス製無音キャスター付<br>●固定ハンドルタイプ<br>●荷台:ステンレス(SUS304)<br>●ハンドル:ステンレス(SUS304)<br>●キャスター金具:ステンレス(SUS304)<br>●車輪:ウレタン<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-302NU】(4854764)オールＳＵＳ製運搬車 固定式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1：クローバー資材館,『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-302NU】(4854764)オールＳＵＳ製運搬車 固定式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1,物流保管用品\運搬台車\ステンレス製運搬車。『カード対応OK！』##■〒トラスコ中山（株）/ＴＲＵＳＣＯ【SUS-302NU】(4854764)オールＳＵＳ製運搬車 固定式 ９１５Ｘ６１５ 省音ウレタン車 受注単位1[rn]
4-67694,,5963.2000,,花・ガーデン・DIY > ガーデニング・農業 > 運搬器具 > 台車,『カード対応OK！』##∀■〒オーエム機器（株）/オーエム 【DLF-1035】(4527631)ドーリーＤＬＦ型 縦３００～４００Ｘ横５００～６００Ｘ１００φ 受注単位1,物流保管用品\運搬台車\コンテナ台車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●枠内は自由に寸法の調整ができます。<br>●積載面の範囲内でいろいろな大きさのコンテナに対応しています。<br>●均等荷重(kg):180<br>●枠内寸法(mm)長さ×幅:500～600×300～400<br>●高さ(mm):157<br>●キャスター径(mm):100<br>●質量(kg):4.19<br>●完成品<br>●自在キャスター4個<br>●キャスター金具:スチール<br>●車輪:ゴム<br>●コーナー:スチール<br>●連結バー:アルミ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##&forall;■〒オーエム機器（株）/オーエム 【DLF-1035】(4527631)ドーリーＤＬＦ型 縦３００～４００Ｘ横５００～６００Ｘ１００φ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒オーエム機器（株）/オーエム 【DLF-1035】(4527631)ドーリーＤＬＦ型 縦３００～４００Ｘ横５００～６００Ｘ１００φ 受注単位1,物流保管用品\運搬台車\コンテナ台車。『カード対応OK！』##&forall;■〒オーエム機器（株）/オーエム 【DLF-1035】(4527631)ドーリーＤＬＦ型 縦３００～４００Ｘ横５００～６００Ｘ１００φ 受注単位1[rn]
